Book Info, , ,Daily Views
Book Title,Created Date,Total Views,2025-09-05	,2025-09-06	,2025-09-07	,2025-09-08	,2025-09-09	,2025-09-10	,2025-09-11	
השדרה גיליון 36,2025-09-07	,580	,0	,0	,191	,277	,84	,28	,0	,
השדרה גיליון 35,2025-08-31	,34	,10	,9	,6	,3	,5	,1	,0	,
השדרה גיליון 34,2025-08-24	,6	,0	,0	,5	,0	,1	,0	,0	,
השדרה גיליון 33,2025-08-17	,1	,0	,0	,0	,1	,0	,0	,0	,
השדרה גיליון 32,2025-08-11	,3	,2	,0	,0	,1	,0	,0	,0	,
השדרה גיליון 31,2025-08-03	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 30,2025-07-27	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 29,2025-07-20	,2	,0	,1	,0	,0	,1	,0	,0	,
השדרה גיליון 28,2025-07-13	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 27 ,2025-07-06	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 26 מוצ"ש קרח,2025-06-29	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 25,2025-06-22	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 24 מוצ"ש בהעלותך,2025-06-15	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 23 מוצ"ש נשא,2025-06-07	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 22 ערב חג השבועות,2025-05-29	,1	,0	,0	,0	,0	,0	,1	,0	,
השדרה גיליון 21 מוצ"ש בהר בחוקותי,2025-05-25	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 20 מוצ"ש אמר,2025-05-18	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 19 מוצ"ש אחרי מות קדושים,2025-05-10	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 18 מוצ"ש תזריע מצורע,2025-05-03	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 17 מוצ"ש שמיני,2025-04-26	,2	,0	,1	,1	,0	,0	,0	,0	,
השדרה גיליון 16 מוצ"ש ויקרא,2025-04-06	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 15 מוצ"ש פקודי,2025-03-28	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 14 מוצ"ש ויקהל,2025-03-22	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 13 מוצ"ש כי תשא,2025-03-15	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 12 מוצ"ש תצוה,2025-03-08	,3	,0	,0	,3	,0	,0	,0	,0	,
השדרה גליון 11,2025-03-01	,2	,0	,0	,0	,0	,2	,0	,0	,
השדרה גיליון 10 מוצ"ש משפטים,2025-02-22	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 9 מוצ"ש יתרו,2025-02-14	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 8 מוצ"ש בשלח,2025-02-08	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גליון 7 מוצ"ש בא,2025-02-01	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גליון 6 מוצ"ש וארא ,2025-01-25	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון מוצ"ש שמות 5,2025-01-18	,2	,0	,0	,0	,0	,2	,0	,0	,
השדרה 5 ,2025-01-18	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 5 _clone,2025-01-18	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גיליון 5 ,2025-01-17	,1	,0	,0	,0	,0	,1	,0	,0	,
השדרה גליון 4,2025-01-11	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גליון 3,2025-01-04	,1	,0	,0	,0	,1	,0	,0	,0	,
השדרה ניסיון,2024-12-30	,0	,0	,0	,0	,0	,0	,0	,0	,
השדרה גליון 2,2024-12-30	,0	,0	,0	,0	,0	,0	,0	,0	,
ארועים בשדרה,2024-12-22	,0	,0	,0	,0	,0	,0	,0	,0	,
ארועים בשדרה,2024-12-22	,0	,0	,0	,0	,0	,0	,0	,0	,
